学校,所在地,AB区,院校建设计划,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试,-,-,-,-,-,-,-,-,-,-,-,-
武汉纺织大学,湖北,A,普通院校,统考,计算机与人工智能学院,(077500)计算机科学与技术,全日制,专业：15(不含推免),(101)思想政治理论,(201)英语（一）,(630)操作系统,(848)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
武汉纺织大学,湖北,A,普通院校,统考,计算机与人工智能学院,(077500)计算机科学与技术,全日制,专业：15(不含推免),(101)思想政治理论,(201)英语（一）,(630)操作系统,(848)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
武汉纺织大学,湖北,A,普通院校,统考,计算机与人工智能学院,(077500)计算机科学与技术,全日制,专业：15(不含推免),(101)思想政治理论,(201)英语（一）,(630)操作系统,(848)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
武汉纺织大学,湖北,A,普通院校,统考,计算机与人工智能学院,(077500)计算机科学与技术,全日制,专业：15(不含推免),(101)思想政治理论,(201)英语（一）,(630)操作系统,(848)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
武汉纺织大学,湖北,A,普通院校,统考,计算机与人工智能学院,(077500)计算机科学与技术,全日制,专业：15(不含推免),(101)思想政治理论,(201)英语（一）,(630)操作系统,(848)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
湖北工业大学,湖北,A,普通院校,统考,计算机学院,(077500)计算机科学与技术,全日制,专业：22(不含推免),(101)思想政治理论,(201)英语（一）,(609)高等数学,(836)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
湖北工业大学,湖北,A,普通院校,统考,计算机学院,(077500)计算机科学与技术,全日制,专业：22(不含推免),(101)思想政治理论,(201)英语（一）,(609)高等数学,(836)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
湖北工业大学,湖北,A,普通院校,统考,计算机学院,(077500)计算机科学与技术,全日制,专业：22(不含推免),(101)思想政治理论,(201)英语（一）,(609)高等数学,(836)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
湖北工业大学,湖北,A,普通院校,统考,计算机学院,(077500)计算机科学与技术,全日制,专业：22(不含推免),(101)思想政治理论,(201)英语（一）,(609)高等数学,(836)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
长沙理工大学,湖南,A,普通院校,统考,计算机与通信工程学院,(077500)计算机科学与技术,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(602)数学,(852)计算机组成原理,-,-,-,-,-,-,-,-,-,-,-,-
长沙理工大学,湖南,A,普通院校,统考,计算机与通信工程学院,(077500)计算机科学与技术,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(602)数学,(852)计算机组成原理,-,-,-,-,-,-,-,-,-,-,-,-
长沙理工大学,湖南,A,普通院校,统考,计算机与通信工程学院,(077500)计算机科学与技术,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(602)数学,(852)计算机组成原理,-,-,-,-,-,-,-,-,-,-,-,-
长沙理工大学,湖南,A,普通院校,统考,计算机与通信工程学院,(077500)计算机科学与技术,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(602)数学,(852)计算机组成原理,-,-,-,-,-,-,-,-,-,-,-,-
湖南工业大学,湖南,A,普通院校,统考,计算机学院,(077500)计算机科学与技术,全日制,专业：25(不含推免),(101)思想政治理论,(201)英语（一）,(601)高等数学1,(813)C语言,-,-,-,-,-,-,-,-,-,-,-,-
湖南工业大学,湖南,A,普通院校,统考,计算机学院,(077500)计算机科学与技术,全日制,专业：25(不含推免),(101)思想政治理论,(201)英语（一）,(601)高等数学1,(813)C语言,-,-,-,-,-,-,-,-,-,-,-,-
湖南工业大学,湖南,A,普通院校,统考,计算机学院,(077500)计算机科学与技术,全日制,专业：25(不含推免),(101)思想政治理论,(201)英语（一）,(601)高等数学1,(813)C语言,-,-,-,-,-,-,-,-,-,-,-,-
南宁师范大学,广西,B,普通院校,统考,计算机与信息工程学院,(077502)计算机软件与理论,全日制,专业：9(不含推免),(101)思想政治理论,(201)英语（一）,(609)数学,(811)计算机基础,-,-,-,-,-,-,-,-,-,-,-,-
南宁师范大学,广西,B,普通院校,统考,计算机与信息工程学院,(077502)计算机软件与理论,全日制,专业：9(不含推免),(101)思想政治理论,(201)英语（一）,(609)数学,(811)计算机基础,-,-,-,-,-,-,-,-,-,-,-,-
南宁师范大学,广西,B,普通院校,统考,计算机与信息工程学院,(077502)计算机软件与理论,全日制,专业：9(不含推免),(101)思想政治理论,(201)英语（一）,(609)数学,(811)计算机基础,-,-,-,-,-,-,-,-,-,-,-,-
南宁师范大学,广西,B,普通院校,统考,计算机与信息工程学院,(077503)计算机应用技术,全日制,专业：11(不含推免),(101)思想政治理论,(201)英语（一）,(609)数学,(811)计算机基础,-,-,-,-,-,-,-,-,-,-,-,-
南宁师范大学,广西,B,普通院校,统考,计算机与信息工程学院,(077503)计算机应用技术,全日制,专业：11(不含推免),(101)思想政治理论,(201)英语（一）,(609)数学,(811)计算机基础,-,-,-,-,-,-,-,-,-,-,-,-
南宁师范大学,广西,B,普通院校,统考,计算机与信息工程学院,(077503)计算机应用技术,全日制,专业：11(不含推免),(101)思想政治理论,(201)英语（一）,(609)数学,(811)计算机基础,-,-,-,-,-,-,-,-,-,-,-,-
南宁师范大学,广西,B,普通院校,统考,计算机与信息工程学院,(077503)计算机应用技术,全日制,专业：11(不含推免),(101)思想政治理论,(201)英语（一）,(609)数学,(811)计算机基础,-,-,-,-,-,-,-,-,-,-,-,-
重庆师范大学,重庆,A,普通院校,统考,计算机与信息科学学院,(077501)计算机系统结构,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(819)C语言程序设计,-,-,-,-,-,-,-,-,-,-,-,-
重庆师范大学,重庆,A,普通院校,统考,计算机与信息科学学院,(077501)计算机系统结构,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(819)C语言程序设计,-,-,-,-,-,-,-,-,-,-,-,-
重庆师范大学,重庆,A,普通院校,统考,计算机与信息科学学院,(077501)计算机系统结构,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(819)C语言程序设计,-,-,-,-,-,-,-,-,-,-,-,-
重庆师范大学,重庆,A,普通院校,统考,计算机与信息科学学院,(077502)计算机软件与理论,全日制,专业：7(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(819)C语言程序设计,-,-,-,-,-,-,-,-,-,-,-,-
重庆师范大学,重庆,A,普通院校,统考,计算机与信息科学学院,(077502)计算机软件与理论,全日制,专业：7(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(819)C语言程序设计,-,-,-,-,-,-,-,-,-,-,-,-
重庆师范大学,重庆,A,普通院校,统考,计算机与信息科学学院,(077502)计算机软件与理论,全日制,专业：7(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(819)C语言程序设计,-,-,-,-,-,-,-,-,-,-,-,-
重庆师范大学,重庆,A,普通院校,统考,计算机与信息科学学院,(077503)计算机应用技术,全日制,专业：13(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(819)C语言程序设计,-,-,-,-,-,-,-,-,-,-,-,-
重庆师范大学,重庆,A,普通院校,统考,计算机与信息科学学院,(077503)计算机应用技术,全日制,专业：13(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(819)C语言程序设计,-,-,-,-,-,-,-,-,-,-,-,-
重庆师范大学,重庆,A,普通院校,统考,计算机与信息科学学院,(077503)计算机应用技术,全日制,专业：13(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(819)C语言程序设计,-,-,-,-,-,-,-,-,-,-,-,-
重庆师范大学,重庆,A,普通院校,统考,计算机与信息科学学院,(077503)计算机应用技术,全日制,专业：13(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(819)C语言程序设计,-,-,-,-,-,-,-,-,-,-,-,-
重庆师范大学,重庆,A,普通院校,统考,重庆国家应用数学中心,(077503)计算机应用技术,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(819)C语言程序设计,-,-,-,-,-,-,-,-,-,-,-,-
重庆师范大学,重庆,A,普通院校,统考,重庆国家应用数学中心,(077503)计算机应用技术,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(819)C语言程序设计,-,-,-,-,-,-,-,-,-,-,-,-
重庆师范大学,重庆,A,普通院校,统考,重庆国家应用数学中心,(077503)计算机应用技术,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(819)C语言程序设计,-,-,-,-,-,-,-,-,-,-,-,-
重庆师范大学,重庆,A,普通院校,统考,重庆国家应用数学中心,(077503)计算机应用技术,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(819)C语言程序设计,-,-,-,-,-,-,-,-,-,-,-,-
西南石油大学,四川,A,双一流,统考,计算机科学学院,(077500)计算机科学与技术,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(601)高等数学,(925)计算机学科综合（数据结构+操作系统）,-,-,-,-,-,-,-,-,-,-,-,-
西南石油大学,四川,A,双一流,统考,计算机科学学院,(077500)计算机科学与技术,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(601)高等数学,(925)计算机学科综合（数据结构+操作系统）,-,-,-,-,-,-,-,-,-,-,-,-
西南石油大学,四川,A,双一流,统考,计算机科学学院,(077500)计算机科学与技术,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(601)高等数学,(925)计算机学科综合（数据结构+操作系统）,-,-,-,-,-,-,-,-,-,-,-,-
西南石油大学,四川,A,双一流,统考,计算机科学学院,(077500)计算机科学与技术,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(601)高等数学,(925)计算机学科综合（数据结构+操作系统）,-,-,-,-,-,-,-,-,-,-,-,-
西南石油大学,四川,A,双一流,统考,计算机科学学院,(077500)计算机科学与技术,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(601)高等数学,(925)计算机学科综合（数据结构+操作系统）,-,-,-,-,-,-,-,-,-,-,-,-
西南石油大学,四川,A,双一流,统考,计算机科学学院,(077500)计算机科学与技术,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(601)高等数学,(925)计算机学科综合（数据结构+操作系统）,-,-,-,-,-,-,-,-,-,-,-,-
西南石油大学,四川,A,双一流,统考,计算机科学学院,(0775J1)能源与人工智能,全日制,专业：6(不含推免),(101)思想政治理论,(201)英语（一）,(601)高等数学,(925)计算机学科综合（数据结构+操作系统）,-,-,-,-,-,-,-,-,-,-,-,-
西安邮电大学,陕西,A,普通院校,统考,理学院,(077500)计算机科学与技术,全日制,专业：7(不含推免),(101)思想政治理论,(201)英语（一）,(601)高等数学,(825)微机原理与接口技术,-,-,-,-,-,-,-,-,-,-,-,-
青海师范大学,青海,B,普通院校,统考,计算机学院,(077500)计算机科学与技术,全日制,专业：24(不含推免),(101)思想政治理论,(201)英语（一）,(601)理学数学,(830)计算机综合专业基础,-,-,-,-,-,-,-,-,-,-,-,-
青海师范大学,青海,B,普通院校,统考,计算机学院,(077500)计算机科学与技术,全日制,专业：24(不含推免),(101)思想政治理论,(201)英语（一）,(601)理学数学,(830)计算机综合专业基础,-,-,-,-,-,-,-,-,-,-,-,-
青海师范大学,青海,B,普通院校,统考,计算机学院,(077500)计算机科学与技术,全日制,专业：24(不含推免),(101)思想政治理论,(201)英语（一）,(601)理学数学,(830)计算机综合专业基础,(101)思想政治理论,(266)梵文(英语占40%),(601)理学数学,(830)计算机综合专业基础,-,-,-,-,-,-,-,-
