学校,所在地,AB区,院校建设计划,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试,-,-,-,-,-,-,-,-,-,-,-,-
中国科学院大学,北京,A,双一流,统考,软件研究所,(083500)软件工程,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
中国科学院大学,北京,A,双一流,统考,软件研究所,(083500)软件工程,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
中国科学院大学,北京,A,双一流,统考,软件研究所,(083500)软件工程,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
中国科学院大学,北京,A,双一流,统考,软件研究所,(083500)软件工程,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
中国科学院大学,北京,A,双一流,统考,软件研究所,(083500)软件工程,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
中国科学院大学,北京,A,双一流,统考,软件研究所,(083500)软件工程,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
中国科学院大学,北京,A,双一流,统考,软件研究所,(083500)软件工程,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
中国科学院大学,北京,A,双一流,统考,软件研究所,(083500)软件工程,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
中国科学院大学,北京,A,双一流,统考,软件研究所,(083500)软件工程,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
中国科学院大学,北京,A,双一流,统考,软件研究所,(083500)软件工程,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
中国科学院大学,北京,A,双一流,统考,软件研究所,(083500)软件工程,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
华北计算机系统工程研究所,北京,A,普通院校,统考,不区分院系所,(083500)软件工程,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(802)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
中国航天科工集团第二研究院,北京,A,普通院校,统考,17所,(083500)软件工程,全日制,研究方向：1(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(909)计算机专业基础综合,-,-,-,-,-,-,-,-,-,-,-,-
中国航天科工集团第二研究院,北京,A,普通院校,统考,706所,(083500)软件工程,全日制,研究方向：3(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(909)计算机专业基础综合,-,-,-,-,-,-,-,-,-,-,-,-
中国空间技术研究院(航天五院),北京,A,普通院校,统考,不区分院系所,(083500)软件工程,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(909)计算机专业基础综合,-,-,-,-,-,-,-,-,-,-,-,-
中国空间技术研究院(航天五院),北京,A,普通院校,统考,不区分院系所,(083500)软件工程,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(909)计算机专业基础综合,-,-,-,-,-,-,-,-,-,-,-,-
